,Frequency,Recency,Monetary,Cluster,Cluster Name
281,21,3,11633.7,2,Champions
282,21,41,34281.18,2,Champions
283,21,8,5115.76,2,Champions
284,21,3,5578.28,2,Champions
285,21,37,7205.33,2,Champions
286,21,125,7335.75,2,Champions
287,21,4,9823.64,2,Champions
288,21,3,4675.36,2,Champions
289,21,63,11284.76,2,Champions
290,21,25,3826.86,2,Champions
291,21,29,6753.89,2,Champions
292,21,28,6723.03,2,Champions
293,21,9,2986.9900000000002,2,Champions
294,21,28,4967.42,2,Champions
295,21,24,9362.77,2,Champions
296,21,23,4457.31,2,Champions
297,20,126,2993.05,2,Champions
298,20,0,6028.6,2,Champions
299,20,8,6188.18,2,Champions
300,20,21,6246.93,2,Champions
301,20,424,2993.37,3,Potential Loyalists
302,20,3,2942.14,2,Champions
303,20,63,25264.8,2,Champions
304,20,29,6963.8,2,Champions
305,20,8,7807.89,2,Champions
306,20,1,7801.93,2,Champions
307,20,38,9134.48,2,Champions
308,20,19,7860.8,2,Champions
309,20,14,7434.31,2,Champions
310,20,1,8134.9400000000005,2,Champions
311,20,165,2354.29,3,Potential Loyalists
312,20,16,8030.150000000001,2,Champions
313,20,0,6726.54,2,Champions
314,20,2,7773.8,2,Champions
315,20,1,5478.12,2,Champions
316,20,15,5750.91,2,Champions
317,20,3,2698.47,2,Champions
318,20,2,11578.65,2,Champions
319,20,0,6081.88,2,Champions
320,20,15,10085.89,2,Champions
321,20,22,5783.29,2,Champions
322,20,50,6869.0,2,Champions
323,20,6,6324.9800000000005,2,Champions
324,20,26,2779.41,2,Champions
325,20,17,7521.8,2,Champions
326,20,56,4234.99,2,Champions
327,20,2,6797.41,2,Champions
328,19,0,6640.8,2,Champions
329,19,42,6775.71,2,Champions
330,19,22,5955.21,2,Champions
331,19,15,14417.36,2,Champions
332,19,2,2612.96,2,Champions
333,19,16,11879.08,2,Champions
334,19,10,6135.04,2,Champions
335,19,22,13370.86,2,Champions
336,19,40,3491.2,2,Champions
337,19,186,2246.06,3,Potential Loyalists
338,19,113,17239.2,2,Champions
339,19,4,3804.38,2,Champions
340,19,2,9942.53,2,Champions
341,19,138,26259.11,2,Champions
342,19,65,6486.091,2,Champions
343,19,16,5097.18,2,Champions
344,19,2,7495.75,2,Champions
345,19,7,5151.9,2,Champions
346,19,7,5517.07,2,Champions
347,19,29,9784.67,2,Champions
348,19,1,6621.7,2,Champions
349,19,31,16249.289999999999,2,Champions
350,19,8,6805.4400000000005,2,Champions
351,19,0,10271.52,2,Champions
352,19,10,20746.54,2,Champions
353,19,7,4892.95,2,Champions
354,18,10,6336.04,2,Champions
355,18,44,4452.02,2,Champions
356,18,28,5467.820000000001,2,Champions
357,18,10,6126.25,2,Champions
358,18,11,6392.06,2,Champions
359,18,58,5319.34,2,Champions
360,18,205,9490.17,2,Champions
361,18,11,7730.59,2,Champions
362,18,21,2255.66,2,Champions
363,18,74,6501.5,2,Champions
364,18,14,3440.3399999999997,2,Champions
365,18,2,6452.991,2,Champions
366,18,29,19617.95,2,Champions
367,18,1,14693.72,2,Champions
368,18,3,3505.61,2,Champions
369,18,17,5902.83,2,Champions
370,18,7,4078.79,2,Champions
371,18,71,2304.58,2,Champions
372,18,108,8813.58,2,Champions
373,18,15,6585.54,2,Champions
374,18,57,6132.43,2,Champions
375,18,35,10513.47,2,Champions
376,18,52,4402.29,2,Champions
377,18,2,5088.29,2,Champions
378,18,263,9388.49,2,Champions
379,18,3,7571.35,2,Champions
380,18,3,3891.39,2,Champions
381,18,29,5117.66,2,Champions
382,18,79,6265.33,2,Champions
383,18,31,9266.0,2,Champions
384,18,52,5394.86,2,Champions
385,18,59,13837.94,2,Champions
386,17,97,14761.519999999999,2,Champions
387,17,95,5231.8,2,Champions
388,17,41,6517.49,2,Champions
389,17,22,7885.85,2,Champions
390,17,23,11727.94,2,Champions
391,17,24,4904.43,2,Champions
392,17,3,4887.24,2,Champions
393,17,42,7852.61,2,Champions
394,17,4,5333.08,2,Champions
395,17,376,3959.4900000000002,3,Potential Loyalists
396,17,47,7191.33,2,Champions
397,17,86,7180.7,2,Champions
398,17,2,3352.7000000000003,2,Champions
399,17,40,2361.3,2,Champions
400,17,19,8026.54,2,Champions
401,17,20,4293.86,2,Champions
402,17,16,11889.33,2,Champions
403,17,30,10209.16,2,Champions
404,17,3,65164.79,2,Champions
405,17,50,6909.67,2,Champions
406,17,25,5175.83,2,Champions
407,17,7,3750.63,2,Champions
408,17,45,3625.88,2,Champions
409,17,8,7217.75,2,Champions
410,17,0,5171.63,2,Champions
411,17,66,8012.58,2,Champions
412,17,9,5993.12,2,Champions
413,17,23,25775.71,2,Champions
414,17,280,8153.04,3,Potential Loyalists
415,17,0,4413.1,2,Champions
416,17,0,5653.67,2,Champions
417,17,8,11126.11,2,Champions
418,17,3,5425.56,2,Champions
419,17,60,5230.99,2,Champions
420,17,307,2860.57,3,Potential Loyalists
421,17,2,15514.11,2,Champions
422,17,7,3084.54,2,Champions
423,17,12,7053.38,2,Champions
424,17,84,7656.08,2,Champions
425,17,15,5051.25,2,Champions
426,17,4,4706.77,2,Champions
427,16,49,3206.54,2,Champions
428,16,121,9275.49,2,Champions
429,16,7,3137.96,2,Champions
430,16,32,5033.77,2,Champions
431,16,83,17259.19,2,Champions
432,16,36,2855.17,2,Champions
433,16,105,5556.570000000001,2,Champions
434,16,1,4546.41,2,Champions
435,16,7,9227.82,2,Champions
436,16,93,2157.9700000000003,3,Potential Loyalists
437,16,24,3387.58,2,Champions
438,16,25,6088.87,2,Champions
439,16,1,5503.15,2,Champions
440,16,2,16260.07,2,Champions
441,16,58,8543.57,2,Champions
442,16,217,2772.76,3,Potential Loyalists
443,16,9,6388.2,2,Champions
444,16,89,9060.39,2,Champions
445,16,6,2697.75,2,Champions
446,16,6,11959.27,2,Champions
447,16,9,64036.8,2,Champions
448,16,3,3616.41,2,Champions
449,16,175,3435.5,3,Potential Loyalists
450,16,46,4881.07,2,Champions
451,16,2,4220.22,2,Champions
452,16,39,7098.24,2,Champions
453,16,9,2820.84,2,Champions
454,16,2,5547.72,2,Champions
455,16,7,9226.25,2,Champions
456,16,13,10159.64,2,Champions
457,16,3,7092.610000000001,2,Champions
458,16,36,8274.14,2,Champions
459,16,30,2770.73,2,Champions
460,16,108,10986.63,2,Champions
461,16,10,7586.94,2,Champions
462,16,9,3559.39,2,Champions
463,16,11,5703.52,2,Champions
464,16,9,3992.86,2,Champions
465,16,58,17550.39,2,Champions
466,16,1,4777.18,2,Champions
467,16,32,5969.93,2,Champions
468,16,185,2952.06,3,Potential Loyalists
469,15,37,5396.04,2,Champions
470,15,15,14335.15,2,Champions
471,15,8,3213.7200000000003,2,Champions
472,15,28,3260.24,2,Champions
473,15,1,4817.66,2,Champions
474,15,23,5339.13,2,Champions
475,15,91,2048.36,3,Potential Loyalists
476,15,18,4721.17,2,Champions
477,15,28,3957.63,2,Champions
478,15,11,8698.13,2,Champions
479,15,71,5676.34,2,Champions
480,15,10,6560.02,2,Champions
481,15,17,3167.34,2,Champions
482,15,415,4466.65,3,Potential Loyalists
483,15,29,1582.0500000000002,2,Champions
484,15,22,12185.51,2,Champions
485,15,1,4243.86,2,Champions
486,15,27,4310.34,2,Champions
487,15,10,4487.11,2,Champions
488,15,28,4460.51,2,Champions
489,15,10,4993.27,2,Champions
490,15,16,4774.17,2,Champions
491,15,28,14644.6,2,Champions
492,15,21,10027.18,2,Champions
493,15,0,2052.7,2,Champions
494,15,7,7036.18,2,Champions
495,15,63,4189.99,2,Champions
496,15,50,3708.3,2,Champions
497,15,48,20306.79,2,Champions
498,15,92,1951.82,3,Potential Loyalists
499,15,36,4620.3,2,Champions
500,15,30,8056.76,2,Champions
501,15,44,2859.31,2,Champions
502,15,31,6911.4400000000005,2,Champions
503,15,24,2603.69,2,Champions
504,15,1,5712.08,2,Champions
505,15,44,11942.52,2,Champions
506,15,16,9371.71,2,Champions
507,15,153,167.42,3,Potential Loyalists
508,15,12,8184.49,2,Champions
509,15,25,4400.18,2,Champions
510,15,16,4530.0,2,Champions
511,15,58,6559.7300000000005,2,Champions
512,15,37,5090.110000000001,2,Champions
513,15,33,3767.09,2,Champions
514,15,16,9887.62,2,Champions
515,15,0,2661.17,2,Champions
516,15,21,4279.2,2,Champions
517,15,382,11123.35,3,Potential Loyalists
518,15,22,2380.13,2,Champions
519,15,25,6368.71,2,Champions
520,15,22,11767.48,2,Champions
521,14,87,4010.7,2,Champions
522,14,133,3402.24,3,Potential Loyalists
523,14,52,7163.0,2,Champions
524,14,107,5493.29,2,Champions
525,14,11,3892.35,2,Champions
526,14,217,12823.521,2,Champions
527,14,8,3968.11,2,Champions
528,14,126,5984.8099999999995,2,Champions
529,14,11,489.54,0,Loyal Customers
530,14,84,9056.01,2,Champions
531,14,37,6474.11,2,Champions
532,14,16,6679.97,2,Champions
533,14,58,2491.38,2,Champions
534,14,24,2989.7,2,Champions
535,14,17,3637.33,2,Champions
536,14,58,3429.29,2,Champions
537,14,27,5517.2300000000005,2,Champions
538,14,26,3546.65,2,Champions
539,14,6,10142.64,2,Champions
540,14,9,2910.23,2,Champions
541,14,73,1757.95,3,Potential Loyalists
542,14,38,8409.6,2,Champions
543,14,1,5114.23,2,Champions
544,14,18,4667.57,2,Champions
545,14,14,3902.01,2,Champions
546,14,3,3102.94,2,Champions
547,14,15,8231.2,2,Champions
548,14,7,7404.65,2,Champions
549,14,22,2758.29,2,Champions
550,14,9,5263.83,2,Champions
551,14,11,2103.71,2,Champions
552,14,12,2761.65,2,Champions
553,14,16,3586.9900000000002,2,Champions
554,14,15,3660.08,2,Champions
555,14,14,11762.1,2,Champions
556,14,366,4292.35,3,Potential Loyalists
557,14,60,3518.41,2,Champions
558,14,22,3365.95,2,Champions
559,14,22,4544.55,2,Champions
560,14,1,7354.43,2,Champions
561,14,23,6663.68,2,Champions
562,14,14,3513.62,2,Champions
563,14,53,4814.37,2,Champions
564,14,0,2927.38,2,Champions
565,14,46,2799.87,2,Champions
566,14,28,4212.15,2,Champions
567,14,78,6217.41,2,Champions
568,14,301,1688.26,3,Potential Loyalists
569,13,99,16249.87,2,Champions
570,13,0,4451.22,2,Champions
571,13,3,2790.9500000000003,2,Champions
572,13,147,6676.91,2,Champions
573,13,8,4232.87,2,Champions
574,13,16,13023.4,2,Champions
575,13,15,7834.650000000001,2,Champions
576,13,22,4491.46,2,Champions
577,13,332,3330.0299999999997,3,Potential Loyalists
578,13,39,4869.400000000001,2,Champions
579,13,26,3773.35,2,Champions
580,13,105,5852.64,2,Champions
581,13,10,4592.93,2,Champions
582,13,9,8706.97,2,Champions
583,13,85,2209.69,3,Potential Loyalists
584,13,14,862.42,2,Champions
585,13,17,6423.26,2,Champions
586,13,1,2753.29,2,Champions
587,13,26,4120.04,2,Champions
588,13,16,8745.93,2,Champions
589,13,32,3881.2200000000003,2,Champions
590,13,399,8308.19,3,Potential Loyalists
591,13,2,2560.7,2,Champions
592,13,16,8977.94,2,Champions
593,13,15,9847.92,2,Champions
594,13,25,4557.13,2,Champions
595,13,30,3239.57,2,Champions
596,13,13,1899.79,2,Champions
597,13,33,2724.13,2,Champions
598,13,9,6150.03,2,Champions
599,13,196,9839.460000000001,2,Champions
600,13,40,2354.03,2,Champions
601,13,7,8077.77,2,Champions
602,13,24,9762.77,2,Champions
603,13,35,4275.22,2,Champions
604,13,29,3968.67,2,Champions
605,13,22,5796.52,2,Champions
606,13,26,5604.64,2,Champions
607,13,16,2771.94,2,Champions
608,13,25,2596.9700000000003,2,Champions
609,13,98,6000.94,2,Champions
610,13,73,8891.84,2,Champions
611,13,54,2589.87,2,Champions
612,13,1,4868.15,2,Champions
613,13,7,5982.03,2,Champions
614,13,28,4267.15,2,Champions
615,13,1,4173.88,2,Champions
616,13,63,5744.91,2,Champions
617,13,28,2296.72,2,Champions
618,13,55,6274.56,2,Champions
619,13,4,3774.81,2,Champions
620,13,3,2153.41,2,Champions
621,13,25,7829.26,2,Champions
622,13,0,4206.39,2,Champions
623,13,20,3638.53,2,Champions
624,13,15,2820.03,2,Champions
625,13,332,4186.95,3,Potential Loyalists
626,13,10,5476.5,2,Champions
627,13,20,2209.44,2,Champions
628,13,17,7491.92,2,Champions
629,13,12,1786.08,2,Champions
630,13,15,3145.2400000000002,2,Champions
631,13,70,2178.87,3,Potential Loyalists
632,13,179,2163.12,3,Potential Loyalists
633,13,67,2134.4900000000002,3,Potential Loyalists
634,13,27,3793.71,2,Champions
635,13,4,6283.24,2,Champions
636,13,3,3080.1800000000003,2,Champions
637,13,500,2354.97,3,Potential Loyalists
638,13,22,5834.59,2,Champions
639,13,73,9961.93,2,Champions
640,13,81,6391.52,2,Champions
641,13,29,8509.51,2,Champions
642,13,72,6948.2300000000005,2,Champions
643,13,27,3032.26,2,Champions
644,13,508,4335.96,3,Potential Loyalists
645,13,31,2909.86,2,Champions
646,13,7,2512.29,2,Champions
647,13,15,3552.41,2,Champions
648,13,18,4183.56,2,Champions
649,12,66,8283.81,2,Champions
650,12,38,4600.15,2,Champions
651,12,21,3665.5299999999997,2,Champions
652,12,410,5400.461,3,Potential Loyalists
653,12,18,4964.03,2,Champions
654,12,11,4369.2,2,Champions
655,12,126,2975.8,3,Potential Loyalists
656,12,17,2171.07,2,Champions
657,12,29,3400.12,2,Champions
658,12,127,8304.82,2,Champions
659,12,44,4459.98,2,Champions
660,12,58,5360.48,2,Champions
661,12,18,1878.93,2,Champions
662,12,35,5652.74,2,Champions
663,12,28,2673.69,2,Champions
664,12,70,2140.28,3,Potential Loyalists
665,12,33,12410.81,2,Champions
666,12,32,3314.76,2,Champions
667,12,24,11962.3,2,Champions
668,12,16,5454.95,2,Champions
669,12,137,3914.9500000000003,3,Potential Loyalists
670,12,17,3724.06,2,Champions
671,12,8,6935.17,2,Champions
672,12,30,8356.79,2,Champions
673,12,16,4318.48,2,Champions
674,12,7,4608.75,2,Champions
675,12,218,3898.79,3,Potential Loyalists
676,12,14,1551.04,2,Champions
677,12,15,14622.33,2,Champions
678,12,67,4919.35,2,Champions
679,12,3,2211.05,2,Champions
680,12,9,3123.57,2,Champions
681,12,26,1893.8,2,Champions
682,12,30,5256.4,2,Champions
683,12,31,8224.37,2,Champions
684,12,106,5201.47,2,Champions
685,12,22,2966.0,2,Champions
686,12,8,9450.3,2,Champions
687,12,8,14093.71,2,Champions
688,12,7,3235.79,2,Champions
689,12,2,4555.08,2,Champions
690,12,4,3939.24,2,Champions
691,12,24,4867.72,2,Champions
692,12,87,2469.4,3,Potential Loyalists
693,12,34,4304.89,2,Champions
694,12,9,2553.8,2,Champions
695,12,8,3472.4100000000003,2,Champions
696,12,21,3445.32,2,Champions
697,12,2,3109.99,2,Champions
698,12,6,6640.68,2,Champions
699,12,50,10323.03,2,Champions
700,12,384,2736.64,3,Potential Loyalists
701,12,12,1929.26,2,Champions
702,12,10,1919.0,2,Champions
703,12,112,2551.41,3,Potential Loyalists
704,12,65,2242.81,3,Potential Loyalists
705,12,205,4884.68,3,Potential Loyalists
706,12,29,1795.3500000000001,2,Champions
707,12,21,1854.57,2,Champions
708,12,15,7995.36,2,Champions
709,12,36,4006.06,2,Champions
710,12,0,11419.67,2,Champions
711,12,59,2786.77,2,Champions
712,12,0,3593.06,2,Champions
713,12,59,3258.68,2,Champions
714,12,0,2791.69,2,Champions
715,12,4,14617.39,2,Champions
716,12,3,5608.1,2,Champions
717,12,42,3103.13,2,Champions
718,12,17,2203.2400000000002,2,Champions
719,12,22,2341.03,2,Champions
720,12,104,5345.55,2,Champions
721,12,65,3053.57,2,Champions
722,12,14,13733.550000000001,2,Champions
723,12,2,2800.75,2,Champions
724,12,136,1715.1399999999999,3,Potential Loyalists
725,12,51,9957.42,2,Champions
726,12,9,8939.84,2,Champions
727,12,10,3082.1,2,Champions
728,12,16,3107.87,2,Champions
729,12,33,4541.29,2,Champions
730,12,2,4184.01,2,Champions
731,12,30,2957.4700000000003,2,Champions
732,12,32,6354.1,2,Champions
733,12,46,3597.5,2,Champions
734,12,113,3859.82,3,Potential Loyalists
735,12,35,1988.23,2,Champions
736,12,326,3283.96,3,Potential Loyalists
737,12,22,4783.66,2,Champions
738,12,74,2930.19,3,Potential Loyalists
739,12,8,2500.59,2,Champions
740,12,71,6021.05,2,Champions
741,12,70,6709.7300000000005,2,Champions
742,12,44,22100.56,2,Champions
743,12,17,4306.72,2,Champions
744,11,23,5410.92,2,Champions
745,11,42,6308.0,2,Champions
746,11,51,4877.3,2,Champions
747,11,3,1082.19,2,Champions
748,11,66,3050.16,3,Potential Loyalists
749,11,145,2485.26,3,Potential Loyalists
750,11,134,3907.5,3,Potential Loyalists
751,11,35,5234.0,2,Champions
752,11,77,2675.37,3,Potential Loyalists
753,11,7,3780.81,2,Champions
754,11,46,3090.29,2,Champions
755,11,0,2740.65,2,Champions
756,11,106,3614.34,3,Potential Loyalists
757,11,14,2783.08,2,Champions
758,11,51,2416.85,2,Champions
759,11,30,6680.83,2,Champions
760,11,63,4094.37,2,Champions
761,11,153,2998.952,3,Potential Loyalists
762,11,12,3490.5299999999997,2,Champions
763,11,2,5526.88,2,Champions
764,11,95,4648.59,3,Potential Loyalists
765,11,21,2298.33,2,Champions
766,11,52,6579.78,2,Champions
767,11,8,2957.83,2,Champions
768,11,10,5381.08,2,Champions
769,11,95,5257.38,2,Champions
770,11,460,1380.44,3,Potential Loyalists
771,11,290,4848.05,3,Potential Loyalists
772,11,10,3602.29,2,Champions
773,11,40,1887.8999999999999,2,Champions
774,11,9,4065.28,2,Champions
775,11,27,4014.6,2,Champions
776,11,232,3019.2200000000003,3,Potential Loyalists
777,11,8,2468.43,2,Champions
778,11,23,3216.7400000000002,2,Champions
779,11,168,3494.1,3,Potential Loyalists
780,11,49,5511.41,2,Champions
781,11,14,3697.93,2,Champions
782,11,51,2488.76,2,Champions
783,11,56,5081.33,2,Champions
784,11,53,3602.1800000000003,2,Champions
785,11,56,3851.52,2,Champions
786,11,10,1752.92,2,Champions
787,11,21,9676.300000000001,2,Champions
788,11,91,2631.9,3,Potential Loyalists
789,11,491,6251.26,3,Potential Loyalists
